!Important ChatGPT Bing start!
!list of built in functions and description!

Name	Description
{ ... } (Block)	Blocks are one or more statements enclosed in braces. Typically used with function definitions and control flow statements.
{ ... } / Object	Creates an Object from a list of property name and value pairs.
[ ... ] / Array	Creates an Array from a sequence of parameter values.
Abs	Returns the absolute value of the specified number.
ASin	Returns the arcsine (the number whose sine is the specified number) in radians.
ACos	Returns the arccosine (the number whose cosine is the specified number) in radians.
ATan	Returns the arctangent (the number whose tangent is the specified number) in radians.
BlockInput	Disables or enables the user's ability to interact with the computer via keyboard and mouse.
Break	Exits (terminates) any type of loop statement.
Buffer	Creates a Buffer, which encapsulates a block of memory for use with other functions.
CallbackCreate	Creates a machine-code address that when called, redirects the call to a function in the script.
CallbackFree	Frees a callback created by CallbackCreate.
CaretGetPos	Retrieves the current position of the caret (text insertion point).
Catch	Specifies the code to execute if a value or error is thrown during execution of a Try statement.
Ceil	Returns the specified number rounded up to the nearest integer (without any .00 suffix).
Chr	Returns the string (usually a single character) corresponding to the character code indicated by the specified number.
Click	Clicks a mouse button at the specified coordinates. It can also hold down a mouse button, turn the mouse wheel, or move the mouse.
ClipboardAll	Creates an object containing everything on the clipboard (such as pictures and formatting).
ClipWait	Waits until the clipboard contains data.
ComCall	Calls a native COM interface method by index.
ComObjActive	Retrieves a registered COM object.
ComObjArray	Creates a SafeArray for use with COM.
ComObjConnect	Connects a COM object's event source to the script, enabling events to be handled.
ComObject	Creates a COM object.
ComObjFlags	Retrieves or changes flags which control a COM wrapper object's behaviour.
ComObjFromPtr	Wraps a raw IDispatch pointer (COM object) for use by the script.
ComObjGet	Returns a reference to an object provided by a COM component.
ComObjQuery	Queries a COM object for an interface or service.
ComObjType	Retrieves type information from a COM object.
ComObjValue	Retrieves the value or pointer stored in a COM wrapper object.
ComValue	Wraps a value, SafeArray or COM object for use by the script or for passing to a COM method.
Continue	Skips the rest of a loop statement's current iteration and begins a new one.
ControlAddItem	Adds the specified string as a new entry at the bottom of a ListBox or ComboBox.
ControlChooseIndex	Sets the selection in a ListBox, ComboBox or Tab control to be the specified entry or tab number.
ControlChooseString	Sets the selection in a ListBox or ComboBox to be the first entry whose leading part matches the specified string.
ControlClick	Sends a mouse button or mouse wheel event to a control.
ControlDeleteItem	Deletes the specified entry number from a ListBox or ComboBox.
ControlFindItem	Returns the entry number of a ListBox or ComboBox that is a complete match for the specified string.
ControlFocus	Sets input focus to a given control on a window.
ControlGetChecked	Returns a non-zero value if the checkbox or radio button is checked.
ControlGetChoice	Returns the name of the currently selected entry in a ListBox or ComboBox.
ControlGetClassNN	Returns the ClassNN (class name and sequence number) of the specified control.
ControlGetEnabled	Returns a non-zero value if the specified control is enabled.
ControlGetFocus	Retrieves which control of the target window has keyboard focus, if any.
ControlGetHwnd	Returns the unique ID number of the specified control.
ControlGetIndex	Returns the index of the currently selected entry or tab in a ListBox, ComboBox or Tab control.
ControlGetItems	Returns an array of items/rows from a ListBox, ComboBox, or DropDownList.
ControlGetPos	Retrieves the position and size of a control.
ControlGetStyle
ControlGetExStyle	Returns an integer representing the style or extended style of the specified control.
ControlGetText	Retrieves text from a control.
ControlGetVisible	Returns a non-zero value if the specified control is visible.
ControlHide	Hides the specified control.
ControlHideDropDown	Hides the drop-down list of a ComboBox control.
ControlMove	Moves or resizes a control.
ControlSend
ControlSendText	Sends simulated keystrokes or text to a window or control.
ControlSetChecked	Turns on (checks) or turns off (unchecks) a checkbox or radio button.
ControlSetEnabled	Enables or disables the specified control.
ControlSetStyle
ControlSetExStyle	Changes the style or extended style of the specified control, respectively.
ControlSetText	Changes the text of a control.
ControlShow	Shows the specified control if it was previously hidden.
ControlShowDropDown	Shows the drop-down list of a ComboBox control.
CoordMode	Sets coordinate mode for various built-in functions to be relative to either the active window or the screen.
Cos	Returns the trigonometric cosine of the specified number.
Critical	Prevents the current thread from being interrupted by other threads, or enables it to be interrupted.
DateAdd	Adds or subtracts time from a date-time value.
DateDiff	Compares two date-time values and returns the difference.
DetectHiddenText	Determines whether invisible text in a window is "seen" for the purpose of finding the window. This affects built-in functions such as WinExist and WinActivate.
DetectHiddenWindows	Determines whether invisible windows are "seen" by the script.
DirCopy	Copies a folder along with all its sub-folders and files (similar to xcopy).
DirCreate	Creates a folder.
DirDelete	Deletes a folder.
DirExist	Checks for the existence of a folder and returns its attributes.
DirMove	Moves a folder along with all its sub-folders and files. It can also rename a folder.
DirSelect	
Displays a standard dialog that allows the user to select a folder.

DllCall	Calls a function inside a DLL, such as a standard Windows API function.
Download	Downloads a file from the Internet.
DriveEject	Ejects the tray of the specified CD/DVD drive, or ejects a removable drive.
DriveGetCapacity	Returns the total capacity of the drive which contains the specified path, in megabytes.
DriveGetFileSystem	Returns the type of the specified drive's file system.
DriveGetLabel	Returns the volume label of the specified drive.
DriveGetList	Returns a string of letters, one character for each drive letter in the system.
DriveGetSerial	Returns the volume serial number of the specified drive.
DriveGetSpaceFree	Returns the free disk space of the drive which contains the specified path, in megabytes.
DriveGetStatus	Returns the status of the drive which contains the specified path.
DriveGetStatusCD	Returns the media status of the specified CD/DVD drive.
DriveGetType	Returns the type of the drive which contains the specified path.
DriveLock	Prevents the eject feature of the specified drive from working.
DriveRetract	Retracts the tray of the specified CD/DVD drive.
DriveSetLabel	Changes the volume label of the specified drive.
DriveUnlock	Restores the eject feature of the specified drive.
Edit	Opens the current script for editing in the default editor.
EditGetCurrentCol	Returns the column number in an Edit control where the caret (text insertion point) resides.
EditGetCurrentLine	Returns the line number in an Edit control where the caret (text insert point) resides.
EditGetLine	Returns the text of the specified line in an Edit control.
EditGetLineCount	Returns the number of lines in an Edit control.
EditGetSelectedText	Returns the selected text in an Edit control.
EditPaste	Pastes the specified string at the caret (text insertion point) in an Edit control.
Else	Specifies one or more statements to execute if the associated statement's body did not execute.
EnvGet	Retrieves an environment variable.
EnvSet	Writes a value to a variable contained in the environment.
Exit	Exits the current thread.
ExitApp	Terminates the script.
Exp	Returns e (which is approximately 2.71828182845905) raised to the Nth power.
FileAppend	Writes text or binary data to the end of a file (first creating the file, if necessary).
FileCopy	Copies one or more files.
FileCreateShortcut	Creates a shortcut (.lnk) file.
FileDelete	Deletes one or more files.
FileEncoding	Sets the default encoding for FileRead, Loop Read, FileAppend, and FileOpen.
FileExist	Checks for the existence of a file or folder and returns its attributes.
FileInstall	Includes the specified file inside the compiled version of the script.
FileGetAttrib	Reports whether a file or folder is read-only, hidden, etc.
FileGetShortcut	Retrieves information about a shortcut (.lnk) file, such as its target file.
FileGetSize	Retrieves the size of a file.
FileGetTime	Retrieves the datetime stamp of a file or folder.
FileGetVersion	Retrieves the version of a file.
FileMove	Moves or renames one or more files.
FileOpen	Opens a file to read specific content from it and/or to write new content into it.
